feedback_id,department,rating,waiting_time_minutes,theme,comment,priority,ai_demo_task
FB-0001,Pharmacy,5,126,medicine availability,I could not understand the medication instructions,medium,Summarize patient pain points and convert into service recovery actions
FB-0002,OPD,4,81,billing clarity,Doctor explained well but waiting time was long,high,Summarize patient pain points and convert into service recovery actions
FB-0003,Teleconsultation,1,92,wait time,I could not understand the medication instructions,high,Summarize patient pain points and convert into service recovery actions
FB-0004,Emergency,2,137,follow-up coordination,Billing counter was confusing,high,Summarize patient pain points and convert into service recovery actions
FB-0005,Billing,2,114,billing clarity,I wanted counselling in my local language,low,Summarize patient pain points and convert into service recovery actions
FB-0006,Emergency,4,52,follow-up coordination,Follow-up call helped me feel safe,medium,Summarize patient pain points and convert into service recovery actions
FB-0007,Billing,1,55,follow-up coordination,I wanted counselling in my local language,high,Summarize patient pain points and convert into service recovery actions
FB-0008,OPD,4,59,medicine availability,The nurse was kind and supportive,medium,Summarize patient pain points and convert into service recovery actions
FB-0009,OPD,1,142,cleanliness,Billing counter was confusing,medium,Summarize patient pain points and convert into service recovery actions
FB-0010,Diagnostics,3,34,communication,Pharmacy did not have one medicine,high,Summarize patient pain points and convert into service recovery actions
FB-0011,Inpatient Ward,4,85,cleanliness,Follow-up call helped me feel safe,high,Summarize patient pain points and convert into service recovery actions
FB-0012,OPD,4,94,cleanliness,Report collection was delayed,medium,Summarize patient pain points and convert into service recovery actions
FB-0013,Teleconsultation,5,177,communication,Pharmacy did not have one medicine,high,Summarize patient pain points and convert into service recovery actions
FB-0014,Inpatient Ward,5,39,wait time,Report collection was delayed,low,Summarize patient pain points and convert into service recovery actions
FB-0015,OPD,2,51,billing clarity,Report collection was delayed,high,Summarize patient pain points and convert into service recovery actions
FB-0016,Diagnostics,2,112,cleanliness,Billing counter was confusing,high,Summarize patient pain points and convert into service recovery actions
FB-0017,Emergency,4,129,medicine availability,Billing counter was confusing,high,Summarize patient pain points and convert into service recovery actions
