draft_id,section,audience,draft_text,editing_goal,ai_demo_task
MP-001,Discussion,medical affairs internal review,Patients liked the new communication approach and the results prove that it should be implemented widely.,add methodological transparency,"Edit for clarity without adding evidence, citations or stronger claims."
MP-002,Methods,clinical journal,Patients liked the new communication approach and the results prove that it should be implemented widely.,reduce overclaiming,"Edit for clarity without adding evidence, citations or stronger claims."
MP-003,Methods,health services journal,"The literature suggests an important gap, but several references and methodological details still need verification.",add methodological transparency,"Edit for clarity without adding evidence, citations or stronger claims."
MP-004,Discussion,medical affairs internal review,Patients liked the new communication approach and the results prove that it should be implemented widely.,improve academic clarity,"Edit for clarity without adding evidence, citations or stronger claims."
MP-005,Introduction,medical affairs internal review,We used artificial intelligence to analyse the data. The model was accurate and therefore suitable for clinical use.,reduce overclaiming,"Edit for clarity without adding evidence, citations or stronger claims."
MP-006,Methods,medical affairs internal review,"The study was very good and showed that the intervention works in every setting, which is a major breakthrough.",add methodological transparency,"Edit for clarity without adding evidence, citations or stronger claims."
MP-007,Methods,medical affairs internal review,Patients liked the new communication approach and the results prove that it should be implemented widely.,add methodological transparency,"Edit for clarity without adding evidence, citations or stronger claims."
MP-008,Cover letter,clinical journal,"The study was very good and showed that the intervention works in every setting, which is a major breakthrough.",prepare neutral medical-affairs wording,"Edit for clarity without adding evidence, citations or stronger claims."
MP-009,Cover letter,medical affairs internal review,We used artificial intelligence to analyse the data. The model was accurate and therefore suitable for clinical use.,add methodological transparency,"Edit for clarity without adding evidence, citations or stronger claims."
MP-010,Introduction,health services journal,Patients liked the new communication approach and the results prove that it should be implemented widely.,improve academic clarity,"Edit for clarity without adding evidence, citations or stronger claims."
MP-011,Methods,medical affairs internal review,Patients liked the new communication approach and the results prove that it should be implemented widely.,prepare neutral medical-affairs wording,"Edit for clarity without adding evidence, citations or stronger claims."
MP-012,Discussion,medical affairs internal review,Patients liked the new communication approach and the results prove that it should be implemented widely.,reduce overclaiming,"Edit for clarity without adding evidence, citations or stronger claims."
MP-013,Discussion,clinical journal,Patients liked the new communication approach and the results prove that it should be implemented widely.,improve academic clarity,"Edit for clarity without adding evidence, citations or stronger claims."
MP-014,Cover letter,clinical journal,"The literature suggests an important gap, but several references and methodological details still need verification.",add methodological transparency,"Edit for clarity without adding evidence, citations or stronger claims."
MP-015,Cover letter,clinical journal,"The study was very good and showed that the intervention works in every setting, which is a major breakthrough.",add methodological transparency,"Edit for clarity without adding evidence, citations or stronger claims."
MP-016,Discussion,health services journal,"The literature suggests an important gap, but several references and methodological details still need verification.",improve academic clarity,"Edit for clarity without adding evidence, citations or stronger claims."
MP-017,Abstract,clinical journal,"The literature suggests an important gap, but several references and methodological details still need verification.",prepare neutral medical-affairs wording,"Edit for clarity without adding evidence, citations or stronger claims."
MP-018,Discussion,medical affairs internal review,"The study was very good and showed that the intervention works in every setting, which is a major breakthrough.",prepare neutral medical-affairs wording,"Edit for clarity without adding evidence, citations or stronger claims."
MP-019,Methods,medical affairs internal review,Patients liked the new communication approach and the results prove that it should be implemented widely.,add methodological transparency,"Edit for clarity without adding evidence, citations or stronger claims."
MP-020,Introduction,medical affairs internal review,Patients liked the new communication approach and the results prove that it should be implemented widely.,add methodological transparency,"Edit for clarity without adding evidence, citations or stronger claims."
MP-021,Methods,clinical journal,"The study was very good and showed that the intervention works in every setting, which is a major breakthrough.",improve academic clarity,"Edit for clarity without adding evidence, citations or stronger claims."
MP-022,Cover letter,health services journal,"The study was very good and showed that the intervention works in every setting, which is a major breakthrough.",add methodological transparency,"Edit for clarity without adding evidence, citations or stronger claims."
MP-023,Methods,clinical journal,"The literature suggests an important gap, but several references and methodological details still need verification.",prepare neutral medical-affairs wording,"Edit for clarity without adding evidence, citations or stronger claims."
MP-024,Introduction,medical affairs internal review,We used artificial intelligence to analyse the data. The model was accurate and therefore suitable for clinical use.,add methodological transparency,"Edit for clarity without adding evidence, citations or stronger claims."
MP-025,Abstract,clinical journal,"The literature suggests an important gap, but several references and methodological details still need verification.",reduce overclaiming,"Edit for clarity without adding evidence, citations or stronger claims."
MP-026,Discussion,medical affairs internal review,"The study was very good and showed that the intervention works in every setting, which is a major breakthrough.",prepare neutral medical-affairs wording,"Edit for clarity without adding evidence, citations or stronger claims."
MP-027,Introduction,health services journal,"The literature suggests an important gap, but several references and methodological details still need verification.",reduce overclaiming,"Edit for clarity without adding evidence, citations or stronger claims."
MP-028,Abstract,clinical journal,We used artificial intelligence to analyse the data. The model was accurate and therefore suitable for clinical use.,prepare neutral medical-affairs wording,"Edit for clarity without adding evidence, citations or stronger claims."
MP-029,Cover letter,clinical journal,We used artificial intelligence to analyse the data. The model was accurate and therefore suitable for clinical use.,reduce overclaiming,"Edit for clarity without adding evidence, citations or stronger claims."
MP-030,Introduction,clinical journal,"The study was very good and showed that the intervention works in every setting, which is a major breakthrough.",prepare neutral medical-affairs wording,"Edit for clarity without adding evidence, citations or stronger claims."
MP-031,Discussion,medical affairs internal review,Patients liked the new communication approach and the results prove that it should be implemented widely.,improve academic clarity,"Edit for clarity without adding evidence, citations or stronger claims."
MP-032,Introduction,medical affairs internal review,Patients liked the new communication approach and the results prove that it should be implemented widely.,add methodological transparency,"Edit for clarity without adding evidence, citations or stronger claims."
MP-033,Methods,clinical journal,"The study was very good and showed that the intervention works in every setting, which is a major breakthrough.",reduce overclaiming,"Edit for clarity without adding evidence, citations or stronger claims."
MP-034,Abstract,clinical journal,Patients liked the new communication approach and the results prove that it should be implemented widely.,improve academic clarity,"Edit for clarity without adding evidence, citations or stronger claims."
MP-035,Abstract,clinical journal,"The literature suggests an important gap, but several references and methodological details still need verification.",prepare neutral medical-affairs wording,"Edit for clarity without adding evidence, citations or stronger claims."
MP-036,Cover letter,medical affairs internal review,We used artificial intelligence to analyse the data. The model was accurate and therefore suitable for clinical use.,improve academic clarity,"Edit for clarity without adding evidence, citations or stronger claims."
MP-037,Discussion,clinical journal,We used artificial intelligence to analyse the data. The model was accurate and therefore suitable for clinical use.,reduce overclaiming,"Edit for clarity without adding evidence, citations or stronger claims."
MP-038,Abstract,clinical journal,"The literature suggests an important gap, but several references and methodological details still need verification.",add methodological transparency,"Edit for clarity without adding evidence, citations or stronger claims."
MP-039,Methods,clinical journal,We used artificial intelligence to analyse the data. The model was accurate and therefore suitable for clinical use.,add methodological transparency,"Edit for clarity without adding evidence, citations or stronger claims."
MP-040,Introduction,health services journal,"The study was very good and showed that the intervention works in every setting, which is a major breakthrough.",add methodological transparency,"Edit for clarity without adding evidence, citations or stronger claims."
