scenario_id,use_case,environment,data_type,output,risk_hint,required_controls,ai_demo_task
GV-001,Public chatbot appointment triage,public website,symptom text and contact details,routing recommendation,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-002,Discharge instruction simplification,personal AI account,de-identified synthetic note,draft patient handout,moderate,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-003,PV narrative drafting,enterprise workspace,coded adverse-event report,internal narrative draft,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-004,Literature surveillance,research tool,public abstracts,weekly evidence summary,low,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-005,Clinical trial pre-screening,hospital-approved system,limited patient data,eligibility flag for human review,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-006,Public chatbot appointment triage,public website,symptom text and contact details,routing recommendation,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-007,Discharge instruction simplification,personal AI account,de-identified synthetic note,draft patient handout,moderate,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-008,PV narrative drafting,enterprise workspace,coded adverse-event report,internal narrative draft,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-009,Literature surveillance,research tool,public abstracts,weekly evidence summary,low,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-010,Clinical trial pre-screening,hospital-approved system,limited patient data,eligibility flag for human review,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-011,Public chatbot appointment triage,public website,symptom text and contact details,routing recommendation,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-012,Discharge instruction simplification,personal AI account,de-identified synthetic note,draft patient handout,moderate,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-013,PV narrative drafting,enterprise workspace,coded adverse-event report,internal narrative draft,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-014,Literature surveillance,research tool,public abstracts,weekly evidence summary,low,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-015,Clinical trial pre-screening,hospital-approved system,limited patient data,eligibility flag for human review,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
