message_id,context,original_text,desired_tone,facts_that_must_not_change,ai_demo_task
CM-001,referral letter,You did not follow the instructions and therefore your condition has become worse.,concise professional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-002,referral letter,You did not follow the instructions and therefore your condition has become worse.,accountable service recovery,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-003,patient email,We are sorry about the delay but the department was extremely busy and nothing could be done.,concise professional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-004,internal medical-affairs memo,Please see this patient urgently because the situation looks very bad and I am worried.,concise professional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-005,referral letter,You did not follow the instructions and therefore your condition has become worse.,concise professional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-006,patient email,The product is safe and effective and should be considered for this use.,empathetic and non-judgmental,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-007,referral letter,We are sorry about the delay but the department was extremely busy and nothing could be done.,balanced non-promotional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-008,internal medical-affairs memo,Please see this patient urgently because the situation looks very bad and I am worried.,accountable service recovery,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-009,referral letter,The product is safe and effective and should be considered for this use.,empathetic and non-judgmental,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-010,service-recovery response,You did not follow the instructions and therefore your condition has become worse.,accountable service recovery,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-011,service-recovery response,We are sorry about the delay but the department was extremely busy and nothing could be done.,accountable service recovery,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-012,internal medical-affairs memo,You did not follow the instructions and therefore your condition has become worse.,concise professional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-013,internal medical-affairs memo,Please see this patient urgently because the situation looks very bad and I am worried.,concise professional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-014,patient email,Please see this patient urgently because the situation looks very bad and I am worried.,empathetic and non-judgmental,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-015,internal medical-affairs memo,We are sorry about the delay but the department was extremely busy and nothing could be done.,concise professional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-016,patient email,We are sorry about the delay but the department was extremely busy and nothing could be done.,concise professional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-017,internal medical-affairs memo,The product is safe and effective and should be considered for this use.,empathetic and non-judgmental,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-018,patient email,We are sorry about the delay but the department was extremely busy and nothing could be done.,empathetic and non-judgmental,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-019,patient email,Please see this patient urgently because the situation looks very bad and I am worried.,empathetic and non-judgmental,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-020,patient email,Please see this patient urgently because the situation looks very bad and I am worried.,empathetic and non-judgmental,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-021,internal medical-affairs memo,You did not follow the instructions and therefore your condition has become worse.,concise professional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-022,patient email,The product is safe and effective and should be considered for this use.,empathetic and non-judgmental,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-023,referral letter,The product is safe and effective and should be considered for this use.,empathetic and non-judgmental,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-024,referral letter,We are sorry about the delay but the department was extremely busy and nothing could be done.,accountable service recovery,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-025,referral letter,We are sorry about the delay but the department was extremely busy and nothing could be done.,balanced non-promotional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-026,internal medical-affairs memo,Please see this patient urgently because the situation looks very bad and I am worried.,balanced non-promotional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-027,internal medical-affairs memo,We are sorry about the delay but the department was extremely busy and nothing could be done.,concise professional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-028,service-recovery response,Please see this patient urgently because the situation looks very bad and I am worried.,accountable service recovery,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-029,patient email,Please see this patient urgently because the situation looks very bad and I am worried.,concise professional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-030,referral letter,You did not follow the instructions and therefore your condition has become worse.,concise professional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-031,referral letter,We are sorry about the delay but the department was extremely busy and nothing could be done.,empathetic and non-judgmental,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-032,referral letter,Please see this patient urgently because the situation looks very bad and I am worried.,balanced non-promotional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-033,internal medical-affairs memo,Please see this patient urgently because the situation looks very bad and I am worried.,concise professional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-034,service-recovery response,The product is safe and effective and should be considered for this use.,accountable service recovery,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-035,referral letter,You did not follow the instructions and therefore your condition has become worse.,empathetic and non-judgmental,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-036,referral letter,Please see this patient urgently because the situation looks very bad and I am worried.,balanced non-promotional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-037,internal medical-affairs memo,You did not follow the instructions and therefore your condition has become worse.,accountable service recovery,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-038,service-recovery response,The product is safe and effective and should be considered for this use.,accountable service recovery,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-039,service-recovery response,We are sorry about the delay but the department was extremely busy and nothing could be done.,concise professional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
CM-040,patient email,We are sorry about the delay but the department was extremely busy and nothing could be done.,concise professional,"Do not add or remove clinical facts, dates, doses, indications or commitments.",Rewrite for tone and clarity while preserving meaning and marking any ambiguity.
