Tool,Icon,Category,Access,Application area,Best demo use case,Dataset,Risk level,Risk / privacy warning,Official URL,Verified on
ChatGPT,💬,General GenAI co-pilot,Free/Freemium/Paid,Patient communication; data analysis,Upload one synthetic discharge row or paste the selected record.,discharge_summaries.csv,Medium,Use synthetic or institution-approved data only; personal/public accounts are not an approved destination for PHI.,https://chatgpt.com/,2026-07-27
Google Gemini,✨,General GenAI co-pilot,Free/Freemium/Paid,Multilingual counselling; multimodal tasks,Paste one synthetic counselling case.,multilingual_counselling_cases.csv,Medium,Verify translation clinically and use approved account/data settings.,https://gemini.google.com/,2026-07-27
Microsoft Copilot,🧭,Productivity co-pilot,Free/Freemium/Paid,Workflow briefs; document and slide drafting,Upload the synthetic workflow CSV.,hospital_workflows.csv,Medium,Tenant and organisational data controls determine appropriate use.,https://copilot.microsoft.com/,2026-07-27
Claude,🧠,Long-context writing assistant,Free/Freemium/Paid,Medical affairs drafts; policy summaries,Paste a synthetic unsolicited medical query.,pharma_medical_queries.csv,High,Do not use identifiable or confidential information in unapproved accounts.,https://claude.ai/,2026-07-27
Perplexity,🔎,Answer engine with citations,Free/Freemium/Paid,Current evidence discovery,Use one synthetic PICO row as a web research question.,research_questions.csv,Medium,Citations can be irrelevant or weak; verify source quality and applicability.,https://www.perplexity.ai/,2026-07-27
NotebookLM,📓,Source-grounded research notebook,Free/Freemium/Paid,"Guidelines, SOPs and workshop source packs",Upload the workshop PDF and the synthetic governance scenarios.,ai_governance_policy_scenarios.csv,Low,Only upload sources approved for the selected account and workspace.,https://notebooklm.google/,2026-07-27
Elicit,🧪,AI research assistant,Free/Freemium/Paid,"PICO search, screening and evidence tables",Enter a synthetic research question.,research_questions.csv,Low,AI-assisted search is not automatically exhaustive; retain a reproducible protocol.,https://elicit.com/,2026-07-27
Consensus,✅,Academic search engine,Free/Freemium/Paid,Evidence answers and study comparison,"Ask the selected PICO question, apply study-type/date filters and compare the answer with the linked papers.",research_questions.csv,Low,"Verify study design, population and full-text details before use.",https://consensus.app/search/,2026-07-27
Semantic Scholar,🎓,AI-powered paper discovery,Free,Citation discovery and paper triage,"Search the topic, filter by year and study type, inspect TLDRs and influential citations, then save candidate papers.",research_questions.csv,Low,TLDRs support screening but do not replace reading the paper.,https://www.semanticscholar.org/,2026-07-27
PubMed,🧬,Biomedical literature database,Free,Reproducible biomedical search,"Convert the selected PICO fields into keywords and MeSH concepts, run the query and save the exact search string and filters.",research_questions.csv,Low,Use as a source-of-truth search database; GenAI-generated query terms still need review.,https://pubmed.ncbi.nlm.nih.gov/,2026-07-27
SciSpace,📚,Research assistant,Free/Freemium/Paid,Paper explanation and extraction,Use a synthetic abstract for extraction practice or upload an approved public paper.,research_abstracts_sample.csv,Low,Check extracted numbers and claims against the original paper.,https://scispace.com/,2026-07-27
Connected Papers,🕸️,Literature mapping,Free/Freemium/Paid,Citation-network exploration,"Use the topic to find one verified public seed paper, generate the graph and identify prior, derivative and related clusters.",research_questions.csv,Low,A graph is exploratory and not a systematic search.,https://www.connectedpapers.com/,2026-07-27
ResearchRabbit,🐇,Literature mapping,Free/Freemium,"Collections, citation chasing and alerts","Create a collection for the selected topic, add verified seed papers, inspect similar/earlier/later work and document why each paper is retained.",research_questions.csv,Low,Poor seed selection can distort the discovery path.,https://www.researchrabbit.ai/,2026-07-27
Zotero,🗂️,Reference manager,Free,Reference capture and team libraries,"Create a collection named after the synthetic question, import verified papers from PubMed, add tags for design/population and attach screening notes.",research_questions.csv,Low,Clean imported metadata and remove duplicates before citation.,https://www.zotero.org/,2026-07-27
Google AI Studio,🛠️,Prompt prototyping environment,Free/Freemium,Structured prompt experiments,"Use a synthetic reasoning case to test a prompt with explicit schema, uncertainty fields and no-final-diagnosis constraint; compare prompt versions.",clinical_reasoning_cases.csv,High,Do not prototype with real patient data unless the environment is formally approved.,https://aistudio.google.com/,2026-07-27
Canva,🎨,Design productivity,Free/Freemium/Paid,Patient leaflets and workshop visuals,Select one synthetic fact sheet and create a one-page leaflet with a medicine schedule or traffic-light warning section.,patient_education_facts.csv,Low,AI-generated medical wording and visuals require content review and accessibility checks.,https://www.canva.com/,2026-07-27
Gamma,📊,AI presentation creator,Free/Freemium/Paid,Rapid QI and briefing decks,"Paste one workflow record and generate a five-slide deck: problem, current state, patient impact, future state and measures.",hospital_workflows.csv,Low,"Review every statistic, process claim and visual before presenting.",https://gamma.app/,2026-07-27
Napkin AI,🧩,Text-to-visual diagrams,Free/Freemium/Paid,Patient journey and workflow diagrams,"Paste one journey row and request a five-stage journey map with emotions, friction points and improvement opportunities.",patient_journey_map.csv,Low,Ensure visual simplification does not hide clinical or operational exceptions.,https://www.napkin.ai/,2026-07-27
Julius AI,📈,Data analysis assistant,Free/Freemium/Paid,CSV analytics and dashboards,Upload the synthetic feedback CSV.,patient_feedback.csv,Medium,Do not upload identifiable feedback or sensitive free text to an unapproved workspace.,https://julius.ai/,2026-07-27
OpenEvidence,🩺,Clinical evidence answer engine,Clinician access,Evidence-backed clinical questions,Enter one synthetic case as an educational question.,clinical_reasoning_cases.csv,High,Clinician-only decision support; never treat the output as an autonomous diagnosis.,https://www.openevidence.com/,2026-07-27
Glass Health,🧑‍⚕️,Clinical decision support,Free/Freemium/Paid,Differential diagnosis and documentation,Paste one synthetic case.,clinical_reasoning_cases.csv,High,Qualified clinical review is mandatory; verify evidence and patient context.,https://glass.health/,2026-07-27
Doximity Ask,⚕️,Physician clinical AI,Verified clinician access,Clinical Q&A and documentation,"For eligible verified clinicians, enter the synthetic case, request evidence-grounded differential categories and open the cited sources.",clinical_reasoning_cases.csv,High,Regional and professional verification restrictions apply; use only within approved clinical workflows.,https://www.doximity.com/ask/overview,2026-07-27
Pathway,🛤️,Clinical reference platform,Availability varies,Guidelines and clinical reference,"Use one synthetic question to retrieve guideline-based information, compare sources and document uncertainty.",clinical_reasoning_cases.csv,High,Availability and product integration may vary; clinical judgement remains decisive.,https://www.pathway.md/for-providers,2026-07-27
Paperpal,📝,Academic writing assistant,Free/Freemium/Paid,Academic language and journal readiness,"Paste one synthetic paragraph, request clarity and cautious academic tone, and prohibit new citations or stronger claims.",synthetic_manuscript_paragraphs.csv,Low,"Authors remain responsible for accuracy, originality and AI disclosure.",https://paperpal.com/,2026-07-27
Grammarly,✍️,Writing assistant,Free/Freemium/Paid,Professional communication editing,"Paste a synthetic message and revise tone, grammar and concision while preserving every clinical fact and commitment.",medical_communication_drafts.csv,Low,Do not paste confidential content into an unapproved account.,https://www.grammarly.com/,2026-07-27
QuillBot,🔄,Paraphrasing and summarising,Free/Freemium/Paid,Plain-language rewriting,"Paraphrase one synthetic message at low change intensity, compare line by line and reject any altered clinical meaning.",medical_communication_drafts.csv,Medium,Paraphrasing can silently change medical meaning; manual comparison is required.,https://quillbot.com/,2026-07-27
Jenni AI,📄,Academic writing assistant,Free/Freemium/Paid,Outline and manuscript support,Use a synthetic paragraph to generate an outline or cautious revision; add a note that every claim and citation must be supplied and verified by the author.,synthetic_manuscript_paragraphs.csv,Low,"Avoid ghostwriting, fabricated citations and undisclosed AI use.",https://jenni.ai/,2026-07-27
BioRender,🧫,Scientific illustration,Freemium/Paid,Scientific figures and pathways,"Use the selected synthetic brief to plan a figure with clear labels, legend, source notes and a synthetic-training watermark.",pathway_diagram_briefs.csv,Low,Check scientific accuracy and publication/licensing terms.,https://www.biorender.com/,2026-07-27
DeepL,🌐,Translation and writing,Free/Freemium/Paid,Multilingual patient communication,Translate only the selected synthetic counselling draft; preserve medicine/test names and have a fluent clinical reviewer compare both versions.,multilingual_counselling_cases.csv,Medium,Translation quality does not guarantee clinical equivalence or cultural appropriateness.,https://www.deepl.com/,2026-07-27
