diagram_id,diagram_type,title,nodes,required_labels,audience,ai_demo_task
DG-001,clinical workflow,AI-assisted literature review workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,pharma medical affairs,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-002,patient journey,Adverse-event intake workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,researchers,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-003,research process,Discharge communication pathway,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,pharma medical affairs,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-004,research process,Adverse-event intake workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,doctors,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-005,research process,Discharge communication pathway,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,pharma medical affairs,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-006,mechanism-of-action pathway,Adverse-event intake workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,patients,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-007,research process,Adverse-event intake workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,pharma medical affairs,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-008,clinical workflow,Synthetic GLP-1 signalling overview,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,doctors,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-009,patient journey,Synthetic GLP-1 signalling overview,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,researchers,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-010,clinical workflow,AI-assisted literature review workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,patients,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-011,mechanism-of-action pathway,AI-assisted literature review workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,researchers,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-012,clinical workflow,Adverse-event intake workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,pharma medical affairs,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-013,clinical workflow,Adverse-event intake workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,pharma medical affairs,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-014,patient journey,AI-assisted literature review workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,pharma medical affairs,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-015,research process,Synthetic GLP-1 signalling overview,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,doctors,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-016,mechanism-of-action pathway,AI-assisted literature review workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,patients,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-017,patient journey,Synthetic GLP-1 signalling overview,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,pharma medical affairs,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-018,patient journey,Adverse-event intake workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,researchers,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-019,patient journey,Discharge communication pathway,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,patients,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-020,patient journey,Synthetic GLP-1 signalling overview,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,pharma medical affairs,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-021,patient journey,Adverse-event intake workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,doctors,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-022,clinical workflow,AI-assisted literature review workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,pharma medical affairs,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-023,clinical workflow,Discharge communication pathway,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,doctors,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-024,clinical workflow,Synthetic GLP-1 signalling overview,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,pharma medical affairs,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-025,clinical workflow,AI-assisted literature review workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,doctors,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-026,patient journey,Discharge communication pathway,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,researchers,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-027,patient journey,AI-assisted literature review workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,doctors,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-028,research process,Discharge communication pathway,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,patients,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-029,research process,AI-assisted literature review workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,researchers,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
DG-030,mechanism-of-action pathway,Adverse-event intake workflow,Input; professional review; structured output; verification; escalation or approval,Synthetic training example; clinician-in-the-loop; no autonomous decision,patients,Create a publication-ready or presentation-ready visual brief without inventing biological or clinical mechanisms.
