fact_sheet_id,condition,audience_age,literacy_level,key_message_1,key_message_2,key_message_3,warning_signs,visual_need,ai_demo_task
PE-001,newly diagnosed type 2 diabetes,45,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,worsening symptoms despite the plan,medicine schedule,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-002,hypertension,59,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,new severe allergic symptoms,medicine schedule,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-003,COPD,75,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,confusion or fainting,patient journey timeline,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-004,asthma,55,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,new severe allergic symptoms,daily checklist,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-005,iron-deficiency anaemia,65,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,severe chest pain or breathlessness,traffic-light warning signs,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-006,post-angioplasty care,40,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,worsening symptoms despite the plan,daily checklist,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-007,newly diagnosed type 2 diabetes,46,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,confusion or fainting,traffic-light warning signs,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-008,hypertension,36,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,confusion or fainting,medicine schedule,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-009,COPD,63,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,new severe allergic symptoms,medicine schedule,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-010,asthma,47,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,confusion or fainting,traffic-light warning signs,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-011,iron-deficiency anaemia,52,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,new severe allergic symptoms,medicine schedule,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-012,post-angioplasty care,36,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,severe chest pain or breathlessness,daily checklist,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
