journey_id,condition,stage_1,stage_2,stage_3,stage_4,stage_5,common_emotion,friction_point,improvement_idea,ai_demo_task
PJ-001,newly diagnosed type 2 diabetes,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,relief,long waiting time,bilingual handout,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-002,hypertension,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,confusion,language mismatch,visual medicine schedule,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-003,COPD,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,relief,fragmented follow-up,single contact point,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-004,asthma,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,low confidence,unclear instructions,teach-back,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-005,iron-deficiency anaemia,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,confusion,language mismatch,teach-back,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-006,post-angioplasty care,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,confusion,cost concern,bilingual handout,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-007,newly diagnosed type 2 diabetes,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,low confidence,language mismatch,reminder message,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-008,hypertension,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,anxiety,cost concern,teach-back,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-009,COPD,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,anxiety,long waiting time,teach-back,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-010,asthma,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,anxiety,language mismatch,visual medicine schedule,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-011,iron-deficiency anaemia,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,low confidence,language mismatch,teach-back,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-012,post-angioplasty care,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,relief,long waiting time,reminder message,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-013,newly diagnosed type 2 diabetes,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,anxiety,unclear instructions,visual medicine schedule,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-014,hypertension,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,low confidence,long waiting time,teach-back,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-015,COPD,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,anxiety,unclear instructions,single contact point,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-016,asthma,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,anxiety,language mismatch,teach-back,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-017,iron-deficiency anaemia,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,anxiety,unclear instructions,teach-back,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-018,post-angioplasty care,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,confusion,language mismatch,reminder message,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-019,newly diagnosed type 2 diabetes,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,relief,long waiting time,teach-back,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-020,hypertension,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,confusion,cost concern,visual medicine schedule,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-021,COPD,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,confusion,long waiting time,bilingual handout,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-022,asthma,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,low confidence,language mismatch,single contact point,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-023,iron-deficiency anaemia,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,anxiety,fragmented follow-up,teach-back,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-024,post-angioplasty care,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,relief,long waiting time,bilingual handout,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-025,newly diagnosed type 2 diabetes,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,anxiety,long waiting time,visual medicine schedule,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-026,hypertension,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,confusion,long waiting time,teach-back,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-027,COPD,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,anxiety,unclear instructions,bilingual handout,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-028,asthma,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,relief,fragmented follow-up,bilingual handout,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-029,iron-deficiency anaemia,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,low confidence,long waiting time,bilingual handout,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
PJ-030,post-angioplasty care,first symptoms or screening,clinical assessment,shared plan and education,home monitoring,follow-up and adjustment,confusion,fragmented follow-up,bilingual handout,Turn the journey into a clear process diagram with patient emotions and improvement opportunities.
