question_id,topic,population,intervention_or_exposure,comparison,outcomes,preferred_evidence,date_limit,exclusion_note,ai_demo_task
RQ-001,GLP-1 receptor agonists for weight loss in non-diabetic adults,Adults without diabetes,GLP-1 receptor agonist,placebo or lifestyle intervention,weight change and adverse events,randomized trials and systematic reviews,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-002,AI-supported discharge instructions and patient comprehension,Adults discharged from hospital,AI-assisted plain-language instructions,usual discharge instructions,"comprehension, adherence, readmission",controlled studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-003,Digital adherence interventions in hypertension,Adults with hypertension,mobile or conversational adherence support,usual care,medication adherence and blood pressure,RCTs and cohort studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-004,Ambient clinical documentation and physician workload,Practising clinicians,ambient AI scribing,usual documentation,"time, burnout, note quality",implementation studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-005,Generative AI for pharmacovigilance case intake,Spontaneous adverse-event reports,GenAI-assisted intake,manual intake,"completeness, accuracy, processing time",validation studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-006,GLP-1 receptor agonists for weight loss in non-diabetic adults,Adults without diabetes,GLP-1 receptor agonist,placebo or lifestyle intervention,weight change and adverse events,randomized trials and systematic reviews,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-007,AI-supported discharge instructions and patient comprehension,Adults discharged from hospital,AI-assisted plain-language instructions,usual discharge instructions,"comprehension, adherence, readmission",controlled studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-008,Digital adherence interventions in hypertension,Adults with hypertension,mobile or conversational adherence support,usual care,medication adherence and blood pressure,RCTs and cohort studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-009,Ambient clinical documentation and physician workload,Practising clinicians,ambient AI scribing,usual documentation,"time, burnout, note quality",implementation studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-010,Generative AI for pharmacovigilance case intake,Spontaneous adverse-event reports,GenAI-assisted intake,manual intake,"completeness, accuracy, processing time",validation studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
