abstract_id,synthetic_title,topic,method,sample_size,follow_up_weeks,main_outcome,effect_estimate_for_training_only,limitation,abstract_text,ai_demo_task
SYN-ABS-001,Synthetic study 1: GLP-1 receptor agonists for weight loss in non-diabetic adults,GLP-1 receptor agonists for weight loss in non-diabetic adults,randomized controlled trial,970,52,no meaningful difference,9.7,risk of selection bias,"This is a fully synthetic educational abstract about GLP-1 receptor agonists for weight loss in non-diabetic adults. A randomized controlled trial enrolled 970 synthetic participants or records. The training-only analysis suggested 9.7 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-002,Synthetic study 2: AI-supported discharge instructions and patient comprehension,AI-supported discharge instructions and patient comprehension,prospective cohort,496,8,improved patient comprehension,-7.3,short follow-up,"This is a fully synthetic educational abstract about AI-supported discharge instructions and patient comprehension. A prospective cohort enrolled 496 synthetic participants or records. The training-only analysis suggested -7.3 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-003,Synthetic study 3: Digital adherence interventions in hypertension,Digital adherence interventions in hypertension,retrospective cohort,382,12,no meaningful difference,4.6,single-centre design,"This is a fully synthetic educational abstract about Digital adherence interventions in hypertension. A retrospective cohort enrolled 382 synthetic participants or records. The training-only analysis suggested 4.6 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-004,Synthetic study 4: Ambient clinical documentation and physician workload,Ambient clinical documentation and physician workload,mixed-method implementation study,1014,12,higher case completeness,1.9,risk of selection bias,"This is a fully synthetic educational abstract about Ambient clinical documentation and physician workload. A mixed-method implementation study enrolled 1014 synthetic participants or records. The training-only analysis suggested 1.9 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-005,Synthetic study 5: Generative AI for pharmacovigilance case intake,Generative AI for pharmacovigilance case intake,systematic review simulation,659,24,improved patient comprehension,6.7,small subgroup sizes,"This is a fully synthetic educational abstract about Generative AI for pharmacovigilance case intake. A systematic review simulation enrolled 659 synthetic participants or records. The training-only analysis suggested 6.7 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-006,Synthetic study 6: GLP-1 receptor agonists for weight loss in non-diabetic adults,GLP-1 receptor agonists for weight loss in non-diabetic adults,randomized controlled trial,584,8,higher case completeness,10.8,short follow-up,"This is a fully synthetic educational abstract about GLP-1 receptor agonists for weight loss in non-diabetic adults. A randomized controlled trial enrolled 584 synthetic participants or records. The training-only analysis suggested 10.8 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-007,Synthetic study 7: AI-supported discharge instructions and patient comprehension,AI-supported discharge instructions and patient comprehension,prospective cohort,491,24,improved patient comprehension,9.3,small subgroup sizes,"This is a fully synthetic educational abstract about AI-supported discharge instructions and patient comprehension. A prospective cohort enrolled 491 synthetic participants or records. The training-only analysis suggested 9.3 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-008,Synthetic study 8: Digital adherence interventions in hypertension,Digital adherence interventions in hypertension,retrospective cohort,223,12,reduced documentation time,6.4,risk of selection bias,"This is a fully synthetic educational abstract about Digital adherence interventions in hypertension. A retrospective cohort enrolled 223 synthetic participants or records. The training-only analysis suggested 6.4 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-009,Synthetic study 9: Ambient clinical documentation and physician workload,Ambient clinical documentation and physician workload,mixed-method implementation study,1199,12,reduced documentation time,8.5,risk of selection bias,"This is a fully synthetic educational abstract about Ambient clinical documentation and physician workload. A mixed-method implementation study enrolled 1199 synthetic participants or records. The training-only analysis suggested 8.5 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-010,Synthetic study 10: Generative AI for pharmacovigilance case intake,Generative AI for pharmacovigilance case intake,systematic review simulation,1101,8,higher case completeness,10.0,small subgroup sizes,"This is a fully synthetic educational abstract about Generative AI for pharmacovigilance case intake. A systematic review simulation enrolled 1101 synthetic participants or records. The training-only analysis suggested 10.0 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-011,Synthetic study 11: GLP-1 receptor agonists for weight loss in non-diabetic adults,GLP-1 receptor agonists for weight loss in non-diabetic adults,randomized controlled trial,417,8,no meaningful difference,-1.8,self-reported outcome,"This is a fully synthetic educational abstract about GLP-1 receptor agonists for weight loss in non-diabetic adults. A randomized controlled trial enrolled 417 synthetic participants or records. The training-only analysis suggested -1.8 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
