workflow_id,workflow,current_steps,average_turnaround_minutes,main_bottleneck,stakeholders,patient_risk_if_delayed,desired_output,ai_demo_task
HW-001,OPD registration to consultation,8,170,manual handoff,"medical affairs, MLR, PV",high,five-slide improvement deck,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-002,discharge medication reconciliation,9,25,missing information,"site coordinator, investigator, patient",low,standard operating checklist,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-003,adverse-event intake escalation,10,103,missing information,"site coordinator, investigator, patient",high,RACI table,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-004,clinical trial pre-screening,8,178,missing information,"medical affairs, MLR, PV",low,five-slide improvement deck,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-005,patient complaint service recovery,12,151,manual handoff,"site coordinator, investigator, patient",high,process map,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-006,weekly medical affairs literature surveillance,7,84,unclear ownership,"doctor, nurse, pharmacist, patient",moderate,five-slide improvement deck,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-007,OPD registration to consultation,7,26,delayed review,"site coordinator, investigator, patient",high,five-slide improvement deck,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-008,discharge medication reconciliation,11,134,language barrier,"site coordinator, investigator, patient",high,standard operating checklist,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-009,adverse-event intake escalation,8,34,unclear ownership,"doctor, nurse, pharmacist, patient",high,process map,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-010,clinical trial pre-screening,6,158,unclear ownership,"front desk, billing, clinician",high,process map,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-011,patient complaint service recovery,8,53,language barrier,"site coordinator, investigator, patient",high,five-slide improvement deck,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-012,weekly medical affairs literature surveillance,7,82,duplicate data entry,"doctor, nurse, pharmacist, patient",high,RACI table,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-013,OPD registration to consultation,5,121,missing information,"front desk, billing, clinician",high,process map,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-014,discharge medication reconciliation,5,235,language barrier,"site coordinator, investigator, patient",moderate,five-slide improvement deck,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-015,adverse-event intake escalation,10,57,delayed review,"front desk, billing, clinician",high,process map,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-016,clinical trial pre-screening,5,209,duplicate data entry,"front desk, billing, clinician",high,five-slide improvement deck,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-017,patient complaint service recovery,12,97,delayed review,"medical affairs, MLR, PV",low,standard operating checklist,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-018,weekly medical affairs literature surveillance,7,220,delayed review,"front desk, billing, clinician",high,standard operating checklist,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-019,OPD registration to consultation,6,187,missing information,"front desk, billing, clinician",high,process map,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-020,discharge medication reconciliation,12,120,language barrier,"doctor, nurse, pharmacist, patient",low,standard operating checklist,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-021,adverse-event intake escalation,6,159,delayed review,"medical affairs, MLR, PV",low,process map,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-022,clinical trial pre-screening,7,164,manual handoff,"site coordinator, investigator, patient",high,process map,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-023,patient complaint service recovery,5,50,delayed review,"doctor, nurse, pharmacist, patient",low,process map,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-024,weekly medical affairs literature surveillance,5,116,missing information,"doctor, nurse, pharmacist, patient",low,five-slide improvement deck,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
