tool_id,Tool,Icon,Category,Access,Application area,Dataset,Demo objective,Step 1,Step 2,Step 3,Step 4,Prompt template,Expected output,Verification checklist,Safety note,Risk level,Official URL,Verified on
1,ChatGPT,💬,General GenAI co-pilot,Free/Freemium/Paid,Patient communication; data analysis,discharge_summaries.csv,"Upload one synthetic discharge row or paste the selected record. Ask for a Grade 6 patient plan, then verify medicines, warning signs and follow-up.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from discharge_summaries.csv. Use synthetic data only.","Upload one synthetic discharge row or paste the selected record. Ask for a Grade 6 patient plan, then verify medicines, warning signs and follow-up.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Using only this synthetic record, create a patient-friendly discharge plan at Grade 6 reading level. Include what happened, medicine/action schedule exactly as provided, warning signs, follow-up and three teach-back questions. Mark missing information and do not invent facts.",evidence discovery log plus source checks,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Use synthetic or institution-approved data only; personal/public accounts are not an approved destination for PHI.,Medium,https://chatgpt.com/,2026-07-27
2,Google Gemini,✨,General GenAI co-pilot,Free/Freemium/Paid,Multilingual counselling; multimodal tasks,multilingual_counselling_cases.csv,"Paste one synthetic counselling case. Request English plus the preferred language, preserve medicine names and add teach-back questions.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from multilingual_counselling_cases.csv. Use synthetic data only.","Paste one synthetic counselling case. Request English plus the preferred language, preserve medicine names and add teach-back questions.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Using only this synthetic case, draft a bilingual counselling script in English and the preferred language. Preserve medicine and test names in English, include culturally respectful examples, red flags and three teach-back questions. Do not add clinical facts.",risk classification plus control plan,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Verify translation clinically and use approved account/data settings.,Medium,https://gemini.google.com/,2026-07-27
3,Microsoft Copilot,🧭,Productivity co-pilot,Free/Freemium/Paid,Workflow briefs; document and slide drafting,hospital_workflows.csv,"Upload the synthetic workflow CSV. Ask for current-state steps, bottlenecks, a RACI table and a five-slide improvement outline.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from hospital_workflows.csv. Use synthetic data only.","Upload the synthetic workflow CSV. Ask for current-state steps, bottlenecks, a RACI table and a five-slide improvement outline.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Analyse this synthetic workflow. Produce a current-state process, bottlenecks, patient impact, RACI ownership, future-state process, three metrics and two stop conditions. Do not invent organisational policies.",structured table plus checklist,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Tenant and organisational data controls determine appropriate use.,Medium,https://copilot.microsoft.com/,2026-07-27
4,Claude,🧠,Long-context writing assistant,Free/Freemium/Paid,Medical affairs drafts; policy summaries,pharma_medical_queries.csv,"Paste a synthetic unsolicited medical query. Request a balanced, non-promotional draft with evidence gaps and an MLR review banner.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from pharma_medical_queries.csv. Use synthetic data only.","Paste a synthetic unsolicited medical query. Request a balanced, non-promotional draft with evidence gaps and an MLR review banner.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Draft a balanced, non-promotional response workflow for this synthetic unsolicited query. Separate approved-label facts, evidence gaps, safety considerations, MLR review and PV escalation. Do not make a prescribing recommendation.",evidence discovery log plus source checks,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Do not use identifiable or confidential information in unapproved accounts.,High,https://claude.ai/,2026-07-27
5,Perplexity,🔎,Answer engine with citations,Free/Freemium/Paid,Current evidence discovery,research_questions.csv,"Use one synthetic PICO row as a web research question. Ask for recent sources, then open and verify every cited source and date.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from research_questions.csv. Use synthetic data only.","Use one synthetic PICO row as a web research question. Ask for recent sources, then open and verify every cited source and date.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Use this synthetic research question to create a reproducible search plan, inclusion/exclusion criteria, evidence-table columns and a verification checklist. Any papers found must be opened and verified.",patient-facing draft plus verification footer,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Citations can be irrelevant or weak; verify source quality and applicability.,Medium,https://www.perplexity.ai/,2026-07-27
6,NotebookLM,📓,Source-grounded research notebook,Free/Freemium/Paid,"Guidelines, SOPs and workshop source packs",ai_governance_policy_scenarios.csv,Upload the workshop PDF and the synthetic governance scenarios. Ask for a source-grounded risk checklist and require quotes/page references.,Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from ai_governance_policy_scenarios.csv. Use synthetic data only.",Upload the workshop PDF and the synthetic governance scenarios. Ask for a source-grounded risk checklist and require quotes/page references.,Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Classify this synthetic AI use case by data sensitivity, patient impact, autonomy and reach. List minimum controls, approval roles, monitoring measures and stop conditions.",patient-facing draft plus verification footer,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Only upload sources approved for the selected account and workspace.,Low,https://notebooklm.google/,2026-07-27
7,Elicit,🧪,AI research assistant,Free/Freemium/Paid,"PICO search, screening and evidence tables",research_questions.csv,"Enter a synthetic research question. Define inclusion criteria, screen results, create extraction columns and export an evidence table.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from research_questions.csv. Use synthetic data only.","Enter a synthetic research question. Define inclusion criteria, screen results, create extraction columns and export an evidence table.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Use this synthetic research question to create a reproducible search plan, inclusion/exclusion criteria, evidence-table columns and a verification checklist. Any papers found must be opened and verified.",patient-facing draft plus verification footer,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,AI-assisted search is not automatically exhaustive; retain a reproducible protocol.,Low,https://elicit.com/,2026-07-27
8,Consensus,✅,Academic search engine,Free/Freemium/Paid,Evidence answers and study comparison,research_questions.csv,"Ask the selected PICO question, apply study-type/date filters and compare the answer with the linked papers.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from research_questions.csv. Use synthetic data only.","Ask the selected PICO question, apply study-type/date filters and compare the answer with the linked papers.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Use this synthetic research question to create a reproducible search plan, inclusion/exclusion criteria, evidence-table columns and a verification checklist. Any papers found must be opened and verified.",patient-facing draft plus verification footer,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,"Verify study design, population and full-text details before use.",Low,https://consensus.app/search/,2026-07-27
9,Semantic Scholar,🎓,AI-powered paper discovery,Free,Citation discovery and paper triage,research_questions.csv,"Search the topic, filter by year and study type, inspect TLDRs and influential citations, then save candidate papers.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from research_questions.csv. Use synthetic data only.","Search the topic, filter by year and study type, inspect TLDRs and influential citations, then save candidate papers.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Use this synthetic research question to create a reproducible search plan, inclusion/exclusion criteria, evidence-table columns and a verification checklist. Any papers found must be opened and verified.",visual brief plus accessibility notes,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,TLDRs support screening but do not replace reading the paper.,Low,https://www.semanticscholar.org/,2026-07-27
10,PubMed,🧬,Biomedical literature database,Free,Reproducible biomedical search,research_questions.csv,"Convert the selected PICO fields into keywords and MeSH concepts, run the query and save the exact search string and filters.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from research_questions.csv. Use synthetic data only.","Convert the selected PICO fields into keywords and MeSH concepts, run the query and save the exact search string and filters.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Use this synthetic research question to create a reproducible search plan, inclusion/exclusion criteria, evidence-table columns and a verification checklist. Any papers found must be opened and verified.",patient-facing draft plus verification footer,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Use as a source-of-truth search database; GenAI-generated query terms still need review.,Low,https://pubmed.ncbi.nlm.nih.gov/,2026-07-27
11,SciSpace,📚,Research assistant,Free/Freemium/Paid,Paper explanation and extraction,research_abstracts_sample.csv,"Use a synthetic abstract for extraction practice or upload an approved public paper. Ask for method, result, limitation and uncertainty in a table.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from research_abstracts_sample.csv. Use synthetic data only.","Use a synthetic abstract for extraction practice or upload an approved public paper. Ask for method, result, limitation and uncertainty in a table.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Extract only what is explicitly stated in this synthetic abstract: PICO/context, design, sample, outcome, limitation and gap. Separate source facts from inference and label the record as non-citable synthetic training data.",risk classification plus control plan,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Check extracted numbers and claims against the original paper.,Low,https://scispace.com/,2026-07-27
