query_id,requester_type,product,query,evidence_source_needed,regulatory_risk,suggested_workflow,ai_demo_task
MI-001,Doctor,Drug-E anticoagulant,What is the dose adjustment in renal impairment?,not available in label,Low,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-002,Medical science liaison,Drug-C oncology biologic,How common is this adverse event?,not available in label,Medium,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-003,Patient,Drug-B antibiotic,What monitoring is recommended?,approved label,Low,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-004,Patient,Drug-D diabetes injectable,What is the dose adjustment in renal impairment?,company core data sheet,Low,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-005,Pharmacist,Drug-A antihypertensive,Is there evidence for off-label use?,not available in label,High,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-006,Patient,Drug-D diabetes injectable,How common is this adverse event?,approved label,Medium,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-007,Doctor,Drug-H antidepressant,How common is this adverse event?,published literature,Low,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-008,Doctor,Drug-E anticoagulant,What is the mechanism of action?,published literature,Low,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-009,Patient,Drug-H antidepressant,Is there evidence for off-label use?,approved label,High,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-010,Doctor,Drug-E anticoagulant,What is the mechanism of action?,company core data sheet,Low,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-011,Doctor,Drug-A antihypertensive,Can it be combined with current therapy?,approved label,Low,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-012,Patient,Drug-F vaccine,How common is this adverse event?,not available in label,Low,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-013,Patient,Drug-F vaccine,How common is this adverse event?,published literature,Low,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-014,Sales team,Drug-E anticoagulant,Can it be combined with current therapy?,not available in label,Medium,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-015,Pharmacist,Drug-B antibiotic,What is the mechanism of action?,published literature,Medium,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-016,Doctor,Drug-G inhaler,What is the mechanism of action?,not available in label,Low,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-017,Patient,Drug-A antihypertensive,What is the dose adjustment in renal impairment?,published literature,Medium,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-018,Sales team,Drug-H antidepressant,Can it be combined with current therapy?,approved label,Low,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-019,Patient,Drug-A antihypertensive,Is there evidence for off-label use?,published literature,High,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-020,Sales team,Drug-D diabetes injectable,What monitoring is recommended?,not available in label,Low,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-021,Pharmacist,Drug-A antihypertensive,How common is this adverse event?,approved label,Medium,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-022,Sales team,Drug-C oncology biologic,What monitoring is recommended?,approved label,Medium,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-023,Pharmacist,Drug-F vaccine,Is there evidence for off-label use?,company core data sheet,High,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-024,Medical science liaison,Drug-G inhaler,What monitoring is recommended?,not available in label,Low,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-025,Sales team,Drug-H antidepressant,Can this drug be used in pregnancy?,not available in label,High,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-026,Sales team,Drug-F vaccine,What is the mechanism of action?,approved label,Medium,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-027,Doctor,Drug-G inhaler,How common is this adverse event?,not available in label,Low,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-028,Doctor,Drug-E anticoagulant,What monitoring is recommended?,published literature,Low,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-029,Patient,Drug-A antihypertensive,Is there evidence for off-label use?,published literature,High,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-030,Medical science liaison,Drug-H antidepressant,Is there evidence for off-label use?,company core data sheet,High,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-031,Doctor,Drug-D diabetes injectable,Can this drug be used in pregnancy?,approved label,High,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-032,Patient,Drug-F vaccine,Is there evidence for off-label use?,approved label,High,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-033,Pharmacist,Drug-G inhaler,What is the dose adjustment in renal impairment?,approved label,Medium,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-034,Pharmacist,Drug-B antibiotic,What monitoring is recommended?,not available in label,Low,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-035,Patient,Drug-B antibiotic,Can it be combined with current therapy?,not available in label,Low,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-036,Sales team,Drug-H antidepressant,How common is this adverse event?,published literature,Low,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-037,Medical science liaison,Drug-A antihypertensive,Can this drug be used in pregnancy?,not available in label,High,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-038,Medical science liaison,Drug-C oncology biologic,What monitoring is recommended?,published literature,Low,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-039,Medical science liaison,Drug-G inhaler,Can it be combined with current therapy?,not available in label,Medium,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-040,Sales team,Drug-F vaccine,Is there evidence for off-label use?,company core data sheet,High,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-041,Pharmacist,Drug-G inhaler,What is the mechanism of action?,company core data sheet,Low,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-042,Pharmacist,Drug-D diabetes injectable,How common is this adverse event?,company core data sheet,Low,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-043,Pharmacist,Drug-F vaccine,How common is this adverse event?,approved label,Low,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
